,0,1,2,3
0,0.84,0.14,0.02,0.0
1,0.98,0.0,0.02,0.0
2,0.06,0.0,0.04,0.9
3,0.02,0.0,0.0,0.98
4,0.0,1.0,0.0,0.0
5,0.0,0.0,0.0,1.0
6,0.0,0.02,0.98,0.0
7,0.04,0.02,0.0,0.94
8,0.0,1.0,0.0,0.0
9,0.0,1.0,0.0,0.0
10,0.92,0.0,0.06,0.02
11,0.08,0.8,0.1,0.02
12,0.92,0.02,0.06,0.0
13,0.12,0.02,0.06,0.8
14,0.08,0.02,0.0,0.9
15,0.84,0.06,0.08,0.02
16,0.78,0.0,0.0,0.22
17,0.0,0.98,0.02,0.0
18,0.06,0.0,0.02,0.92
19,0.02,0.94,0.04,0.0
20,0.02,0.02,0.88,0.08
21,0.84,0.16,0.0,0.0
22,0.0,0.0,0.0,1.0
23,0.88,0.06,0.0,0.06
24,0.0,0.0,0.0,1.0
25,0.0,1.0,0.0,0.0
26,0.0,1.0,0.0,0.0
27,0.04,0.02,0.94,0.0
28,0.0,0.0,1.0,0.0
29,0.84,0.14,0.02,0.0
30,0.0,0.0,0.96,0.04
31,0.0,0.94,0.06,0.0
32,0.02,0.02,0.96,0.0
33,0.0,0.0,1.0,0.0
34,0.02,0.02,0.94,0.02
35,0.0,0.96,0.0,0.04
36,0.0,1.0,0.0,0.0
37,0.0,0.9995180722891567,0.0004819277108433735,0.0
38,0.9,0.0,0.04,0.06
39,0.74,0.0,0.0,0.26
40,0.0,0.98,0.02,0.0
41,0.0,0.96,0.0,0.04
42,0.0,0.0,0.98,0.02
43,0.0,1.0,0.0,0.0
44,0.04,0.02,0.94,0.0
45,0.92,0.0,0.06,0.02
46,0.88,0.0,0.0,0.12
47,0.0,0.02,0.96,0.02
48,0.0,0.96,0.02,0.02
49,0.06,0.08,0.82,0.04
50,0.02,0.92,0.02,0.04
51,0.1,0.04,0.0,0.86
52,0.0,0.0,0.02,0.98
53,0.0,1.0,0.0,0.0
54,0.0,0.0,0.94,0.06
55,0.0,0.0,0.0,1.0
56,0.0,0.96,0.02,0.02
57,0.78,0.04,0.08,0.1
58,0.94,0.0,0.06,0.0
59,0.98,0.0,0.02,0.0
60,0.92,0.02,0.04,0.02
61,0.0,0.98,0.02,0.0
62,0.12,0.02,0.04,0.82
63,0.04,0.08,0.88,0.0
64,0.94,0.0,0.06,0.0
65,0.0,1.0,0.0,0.0
66,0.02,0.0,0.96,0.02
67,0.0,0.98,0.02,0.0
68,0.0,1.0,0.0,0.0
69,0.96,0.04,0.0,0.0
70,0.02,0.94,0.02,0.02
71,0.0,1.0,0.0,0.0
72,0.0,0.9,0.1,0.0
73,0.02,0.0,0.06,0.92
74,0.04,0.0,0.0,0.96
75,0.92,0.04,0.04,0.0
76,0.0,1.0,0.0,0.0
77,0.94,0.0,0.0,0.06
78,0.02,0.22,0.74,0.02
79,0.12,0.04,0.06,0.78
80,0.1,0.02,0.02,0.86
81,0.96,0.02,0.02,0.0
82,0.8,0.0,0.1,0.1
83,0.0,1.0,0.0,0.0
84,0.04,0.0,0.06,0.9
85,0.02,0.96,0.02,0.0
86,0.14,0.02,0.02,0.82
87,0.0,1.0,0.0,0.0
88,0.0,1.0,0.0,0.0
89,0.06,0.94,0.0,0.0
90,0.0,1.0,0.0,0.0
91,0.88,0.0,0.04,0.08
92,0.94,0.02,0.02,0.02
93,0.94,0.02,0.0,0.04
94,0.06,0.02,0.0,0.92
95,0.0,0.96,0.04,0.0
96,0.0,1.0,0.0,0.0
97,0.86,0.0,0.14,0.0
98,0.0,0.98,0.02,0.0
99,0.02,0.0,0.98,0.0
100,0.92,0.02,0.04,0.02
101,0.96,0.0,0.04,0.0
102,0.04,0.02,0.94,0.0
103,0.78,0.04,0.04,0.14
104,0.0,0.0,1.0,0.0
105,0.0,0.96,0.02,0.02
106,0.86,0.02,0.1,0.02
107,0.0,0.98,0.02,0.0
108,0.02,0.08,0.9,0.0
109,0.0,1.0,0.0,0.0
110,0.88,0.0,0.0,0.12
111,0.94,0.0,0.06,0.0
112,0.06,0.0,0.0,0.94
113,0.0,1.0,0.0,0.0
114,0.0,0.98,0.02,0.0
115,0.0,0.1,0.88,0.02
116,0.82,0.0,0.04,0.14
117,0.02,0.0,0.96,0.02
118,0.9,0.0,0.02,0.08
119,0.0,0.0,1.0,0.0
120,0.0,0.0,0.94,0.06
121,0.0,1.0,0.0,0.0
122,0.0,0.0,0.96,0.04
123,0.0,0.88,0.12,0.0
124,0.08,0.0,0.02,0.9
125,0.94,0.0,0.02,0.04
126,0.06,0.02,0.04,0.88
127,0.96,0.02,0.0,0.02
128,0.02,0.9,0.04,0.04
129,0.86,0.0,0.06,0.08
130,0.0,1.0,0.0,0.0
131,0.0,0.02,0.92,0.06
132,0.0,0.96,0.04,0.0
133,1.0,0.0,0.0,0.0
134,0.0,1.0,0.0,0.0
135,0.0,0.9995180722891567,0.0004819277108433735,0.0
136,0.98,0.0,0.0,0.02
137,0.0,0.0,1.0,0.0
138,0.0,0.0,0.04,0.96
139,0.0,0.0,0.98,0.02
140,0.9,0.02,0.02,0.06
141,0.0,0.98,0.0,0.02
142,0.02,0.0,0.98,0.0
143,0.0,1.0,0.0,0.0
144,0.0,0.0,0.04,0.96
145,0.0,0.96,0.04,0.0
146,0.0,0.0,0.06,0.94
147,0.04,0.94,0.02,0.0
148,0.04,0.76,0.14,0.06
149,0.94,0.04,0.02,0.0
150,0.28,0.0,0.68,0.04
151,0.02,0.96,0.02,0.0
152,0.0,0.0,1.0,0.0
153,0.04,0.92,0.0,0.04
154,0.0,0.0,1.0,0.0
155,0.0,0.0,1.0,0.0
156,0.08,0.0,0.0,0.92
157,0.0,0.0,0.02,0.98
158,0.0,1.0,0.0,0.0
159,0.0,1.0,0.0,0.0
160,0.0,1.0,0.0,0.0
161,0.0,0.98,0.02,0.0
162,0.0,0.96,0.04,0.0
163,0.0,0.0,0.0,1.0
164,0.0,0.94,0.06,0.0
165,0.02,0.0,0.08,0.9
166,0.96,0.0,0.02,0.02
167,0.92,0.04,0.0,0.04
168,1.0,0.0,0.0,0.0
169,0.06,0.04,0.0,0.9
170,0.86,0.0,0.0,0.14
171,0.0,0.9995180722891567,0.0004819277108433735,0.0
172,0.02,0.0,0.98,0.0
173,0.86,0.02,0.06,0.06
174,0.0,0.94,0.06,0.0
175,0.0,0.0,1.0,0.0
176,0.0,0.98,0.02,0.0
177,0.0,0.98,0.02,0.0
178,0.0,1.0,0.0,0.0
179,0.8,0.04,0.02,0.14
180,0.02,0.0,0.94,0.04
181,0.0,0.02,0.02,0.96
182,0.0,0.0,1.0,0.0
183,0.14,0.76,0.02,0.08
184,0.04,0.02,0.0,0.94
185,0.02,0.84,0.14,0.0
186,0.3,0.0,0.02,0.68
187,0.12,0.0,0.02,0.86
188,0.02,0.92,0.04,0.02
189,0.84,0.02,0.0,0.14
190,0.0,1.0,0.0,0.0
191,0.76,0.0,0.0,0.24
192,0.0,0.0,0.0,1.0
193,0.0,1.0,0.0,0.0
194,0.0,1.0,0.0,0.0
195,0.06,0.0,0.0,0.94
196,0.02,0.0,0.98,0.0
197,0.16,0.04,0.76,0.04
198,0.0,0.0,0.64,0.36
199,0.06,0.94,0.0,0.0
200,0.0,0.98,0.02,0.0
201,0.0,0.92,0.08,0.0
202,0.9,0.0,0.08,0.02
203,0.0,0.0,1.0,0.0
204,0.02,0.18,0.8,0.0
205,0.92,0.0,0.08,0.0
206,0.04,0.92,0.02,0.02
207,0.0,1.0,0.0,0.0
208,0.84,0.14,0.0,0.02
209,0.06,0.0,0.0,0.94
210,0.92,0.0,0.0,0.08
211,0.0,0.0,0.0,1.0
212,0.0,1.0,0.0,0.0
213,0.0,0.0,1.0,0.0
214,0.92,0.0,0.02,0.06
215,0.38,0.02,0.0,0.6
216,0.0,0.98,0.02,0.0
217,0.78,0.02,0.16,0.04
218,0.0,0.02,0.98,0.0
219,0.02,0.0,0.98,0.0
220,0.04,0.0,0.94,0.02
221,0.02,0.0,0.0,0.98
222,0.0,0.0,1.0,0.0
223,0.02,0.0,0.02,0.96
224,0.94,0.0,0.0,0.06
225,0.08,0.02,0.1,0.8
226,0.02,0.0,0.96,0.02
227,0.14,0.02,0.78,0.06
228,0.02,0.0,0.0,0.98
229,0.02,0.98,0.0,0.0
230,0.02,0.0,0.0,0.98
231,0.0,0.0,0.0,1.0
232,0.78,0.02,0.04,0.16
233,0.0,0.98,0.02,0.0
234,0.02,0.98,0.0,0.0
235,0.8,0.02,0.16,0.02
236,0.0,0.96,0.02,0.02
237,0.0,1.0,0.0,0.0
238,0.02,0.98,0.0,0.0
239,0.98,0.0,0.0,0.02
